"","studyid","obsid","lnwtp","wlfresh","lnyear","lninc","sagulf","nema","nmw","local","prov","reg","cult","forest","q0","q1","volunt","lumpsum","ce","nrev","median","canada","q01","q_percent","lnwtp2","q_change","us"
"1",101,1011,5.546188234,1,2.89,12.31369622,0,0,1,1,0,1,1,0,0,2.499,0,0,0,0,0,0,1.2495,100,4.63029758214718,2.499,1
"2",104,1041,0.910301473,1,0.693,11.47267793,0,0,1,0,0,1,1,0,3.468,3.968,1,0,0,0,1,0,3.718,0.144175317185698,1.60344865355995,0.5,1
"3",104,1042,2.227981557,1,0.693,11.47267793,0,0,1,0,0,1,1,1,69.58,70.08,1,0,0,0,1,0,69.83,0.00718597298074153,2.92112873755995,0.5,1
"4",104,1043,1.94423838,1,0.693,11.47267793,0,0,1,0,0,1,1,1,21.716,22.216,1,0,0,0,1,0,21.966,0.0230244980659422,2.63738556055995,0.5,1
"5",104,1044,3.17915591,1,0.693,11.47267793,0,0,1,0,0,1,1,1,0.908,1.408,1,0,0,0,1,0,1.158,0.550660792951542,3.87230309055995,0.5,1
"6",106,1061,4.972531245,1,1.792,11.62468246,0,0,1,1,1,1,1,0,10,13,0,1,0,1,1,0,11.5,0.3,3.87391895633189,3,1
"7",113,1131,4.434526181,1,1.792,11.84268788,0,0,1,0,0,1,0,1,219.89,220,0,1,0,1,0,0,219.945,0.000500250125062607,6.6418010941896,0.110000000000014,1
"8",114,1141,2.365940123,1,2.485,12.15169378,0,1,0,1,0,0,1,1,5.838,5.867,0,1,1,0,0,0,5.8525,0.00496745460774228,5.90639957199567,0.0289999999999999,1
"9",114,1142,2.681576864,1,2.485,12.15169378,0,1,0,1,0,0,1,1,5.822,5.867,0,1,1,0,0,0,5.8445,0.00772930264513905,5.78266965321182,0.0449999999999999,1
"10",114,1143,2.961710827,1,2.485,12.15169378,0,1,0,1,0,0,1,1,5.807,5.867,0,1,1,0,0,0,5.837,0.0103323574995695,5.77512154376004,0.0599999999999996,1
"11",115,1151,5.836251457,1,0.693,11.84468793,0,0,0,0,0,0,1,0,27,85,0,0,0,0,0,0,56,2.14814814814815,1.77580844645358,58,1
"12",115,1152,6.339358896,1,0.693,11.84468793,0,0,0,0,0,0,1,0,85,125,0,0,0,0,0,0,105,0.470588235294118,2.65047944188606,40,1
"13",117,1171,4.118268488,1,2.079,11.59268157,0,0,1,0,0,0,0,0,34,50,0,0,0,0,0,0,42,0.470588235294118,1.34567976576022,16,1
"14",117,1172,3.996035334,1,2.079,11.59268157,0,0,1,0,0,0,0,0,34,75,0,0,0,0,0,0,54.5,1.20588235294118,0.282463267295692,41,1
"15",117,1173,4.122281846,1,2.079,11.59268157,0,0,1,0,0,0,0,0,34,100,0,0,0,0,0,0,67,1.94117647058824,-0.0673728960264253,66,1
"16",119,1191,4.559574193,1,2.833,11.81768732,0,0,1,1,0,0,1,0,9,10.125,1,1,0,0,1,0,9.5625,0.125,4.44179115734362,1.125,1
"17",120,1201,3.163607115,1,0,11.76968619,0,0,1,0,1,1,1,1,36,41,1,0,0,0,1,0,38.5,0.138888888888889,1.5541692025659,5,1
"18",122,1221,4.962305017,1,1.609,11.89668905,1,0,0,1,0,0,0,0,212.378,212.708,0,0,0,0,0,0,212.543,0.00155383325956548,6.07096764152157,0.330000000000013,1
"19",125,1251,3.844083829,1,1.386,11.90368919,1,0,0,0,1,1,1,1,6,8.5,1,1,0,1,0,0,7.25,0.416666666666667,2.92779309712585,2.5,1
"20",125,1252,3.555641155,1,1.386,11.87168851,1,0,0,0,1,1,1,1,6,8.5,1,1,0,1,0,0,7.25,0.416666666666667,2.63935042312584,2.5,1
"21",126,1261,6.246204241,1,1.415,10.88181368,0,0,0,1,0,1,0,0,988.422,1976.843,0,0,1,1,0,1,1482.6325,0.99999898828638,-0.649904479347676,988.421,0
"22",126,1262,6.209954085,1,1.415,10.88181368,0,0,0,1,0,1,0,0,988.422,1976.843,0,0,0,1,0,1,1482.6325,0.99999898828638,-0.686154635347676,988.421,0
"23",127,1271,5.670329098,1,1.342,11.13604781,0,0,0,1,0,1,0,0,11.997,14.52,0,0,0,1,0,1,13.2585,0.210302575643911,4.74488042834108,2.523,0
"24",128,1281,5.827076224,1,1.342,11.00874438,0,0,0,0,0,1,0,0,949.184,1044.102,0,0,0,1,0,1,996.643,0.0999995785853955,1.27406286302947,94.9180000000001,0
